Website section,Exact claim or implied claim,Claim type,Technology/system involved,Chemicals/materials involved,Unit operations involved,Bottleneck involved,Readiness/manufacturing issue involved,Needed evidence type,Evidence status,Best available sources,Source quality rating,Confidence level,Notes on uncertainty,Suggested revised wording if too strong
Technology / simplified PFD,Closed-loop life support is represented with the simplified PFD sequence: Human waste/CO2 → Recovery systems → Water/oxygen/food → Habitat loop → Monitoring.,process-flow assumption,Closed-loop life support,Carbon dioxide; Oxygen; Water; Lithium; Electrolytes; Graphite; Electrolytes,Electrolysis; Compression; Heat exchange,energy penalty; reliability gap; maintenance burden; data/control problem,"ISS systems recover much, but fully closed long-duration loops are not solved.",Process-route sources showing actual major unit operations or system blocks,Partially supported / roadmap-stage,"NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support) | National Research Council. 1997. Advanced Technology for Human Support in Space. (https://www.nationalacademies.org/read/5826/chapter/4) | National Research Council. 2012. Water Reuse: Potential for Expanding the Nation's Water Supply Through Reuse of Municipal Wastewater. (https://www.nationalacademies.org/read/13303) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | NASA Office of Technology, Policy, and Strategy. 2024. Space-Based Solar Power. (https://www.nasa.gov/wp-content/uploads/2024/01/otps-sbsp-report-final-tagged-approved-1-8-24-tagged-v2.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,"Closed-loop life support readiness gap: ISS systems recover much, but fully closed long-duration loops are not solved.",readiness/economics claim,Closed-loop life support,Carbon dioxide; Oxygen; Water; Lithium; Electrolytes; Graphite; Electrolytes,Electrolysis; Compression; Heat exchange,energy penalty; reliability gap; maintenance burden; data/control problem,"ISS systems recover much, but fully closed long-duration loops are not solved.",TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Partially supported / roadmap-stage,"NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support) | National Research Council. 1997. Advanced Technology for Human Support in Space. (https://www.nationalacademies.org/read/5826/chapter/4) | National Research Council. 2012. Water Reuse: Potential for Expanding the Nation's Water Supply Through Reuse of Municipal Wastewater. (https://www.nationalacademies.org/read/13303) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | NASA Office of Technology, Policy, and Strategy. 2024. Space-Based Solar Power. (https://www.nasa.gov/wp-content/uploads/2024/01/otps-sbsp-report-final-tagged-approved-1-8-24-tagged-v2.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,"Sources support active research, demonstrations, or roadmaps; scale/cost/reliability are unresolved.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Closed-loop life support scale trigger: Loops must tolerate failures and microbial shifts for years.,readiness/economics claim + engineering inference,Closed-loop life support,Carbon dioxide; Oxygen; Water; Lithium; Electrolytes; Graphite; Electrolytes,Electrolysis; Compression; Heat exchange,energy penalty; reliability gap; maintenance burden; data/control problem,Loops must tolerate failures and microbial shifts for years.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Partially supported / roadmap-stage,"NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support) | National Research Council. 1997. Advanced Technology for Human Support in Space. (https://www.nationalacademies.org/read/5826/chapter/4) | National Research Council. 2012. Water Reuse: Potential for Expanding the Nation's Water Supply Through Reuse of Municipal Wastewater. (https://www.nationalacademies.org/read/13303) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | NASA Office of Technology, Policy, and Strategy. 2024. Space-Based Solar Power. (https://www.nasa.gov/wp-content/uploads/2024/01/otps-sbsp-report-final-tagged-approved-1-8-24-tagged-v2.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Space habitats: Modular structures, radiation shielding, closed-loop systems, artificial gravity concepts, and orbital logistics.",process-flow assumption + engineering inference,Space habitats,Oxygen; Aluminum,Electrolysis; Compression; Heat exchange,infrastructure gap; reliability gap; maintenance burden; cost curve problem,Stations exist; city-scale habitats need cheaper logistics and robust loops.,"Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Partially supported / roadmap-stage,"NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support) | National Research Council. 1997. Advanced Technology for Human Support in Space. (https://www.nationalacademies.org/read/5826/chapter/4) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | NASA Office of Technology, Policy, and Strategy. 2024. Space-Based Solar Power. (https://www.nasa.gov/wp-content/uploads/2024/01/otps-sbsp-report-final-tagged-approved-1-8-24-tagged-v2.pdf) | Muscatello, A. C., et al. 2012. Mars In Situ Resource Utilization Technology Evaluation. NASA NTRS. (https://ntrs.nasa.gov/api/citations/20120001775/downloads/20120001775.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,"Sources support active research, demonstrations, or roadmaps; scale/cost/reliability are unresolved.","Frame as roadmap-stage or early-stage. Keep Space habitats wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Space habitats is represented with the simplified PFD sequence: Module fabrication → Launch/assembly → Life-support integration → Shielding → Operations.,process-flow assumption,Space habitats,Oxygen; Aluminum,Electrolysis; Compression; Heat exchange,infrastructure gap; reliability gap; maintenance burden; cost curve problem,Stations exist; city-scale habitats need cheaper logistics and robust loops.,Process-route sources showing actual major unit operations or system blocks,Partially supported / roadmap-stage,"NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support) | National Research Council. 1997. Advanced Technology for Human Support in Space. (https://www.nationalacademies.org/read/5826/chapter/4) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | NASA Office of Technology, Policy, and Strategy. 2024. Space-Based Solar Power. (https://www.nasa.gov/wp-content/uploads/2024/01/otps-sbsp-report-final-tagged-approved-1-8-24-tagged-v2.pdf) | Muscatello, A. C., et al. 2012. Mars In Situ Resource Utilization Technology Evaluation. NASA NTRS. (https://ntrs.nasa.gov/api/citations/20120001775/downloads/20120001775.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,Space habitats readiness gap: Stations exist; city-scale habitats need cheaper logistics and robust loops.,readiness/economics claim,Space habitats,Oxygen; Aluminum,Electrolysis; Compression; Heat exchange,infrastructure gap; reliability gap; maintenance burden; cost curve problem,Stations exist; city-scale habitats need cheaper logistics and robust loops.,TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Partially supported / roadmap-stage,"NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support) | National Research Council. 1997. Advanced Technology for Human Support in Space. (https://www.nationalacademies.org/read/5826/chapter/4) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | NASA Office of Technology, Policy, and Strategy. 2024. Space-Based Solar Power. (https://www.nasa.gov/wp-content/uploads/2024/01/otps-sbsp-report-final-tagged-approved-1-8-24-tagged-v2.pdf) | Muscatello, A. C., et al. 2012. Mars In Situ Resource Utilization Technology Evaluation. NASA NTRS. (https://ntrs.nasa.gov/api/citations/20120001775/downloads/20120001775.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,"Sources support active research, demonstrations, or roadmaps; scale/cost/reliability are unresolved.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Space habitats scale trigger: Launch and maintenance costs must fall while life support becomes highly reliable.,readiness/economics claim + engineering inference,Space habitats,Oxygen; Aluminum,Electrolysis; Compression; Heat exchange,infrastructure gap; reliability gap; maintenance burden; cost curve problem,Launch and maintenance costs must fall while life support becomes highly reliable.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Partially supported / roadmap-stage,"NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support) | National Research Council. 1997. Advanced Technology for Human Support in Space. (https://www.nationalacademies.org/read/5826/chapter/4) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | NASA Office of Technology, Policy, and Strategy. 2024. Space-Based Solar Power. (https://www.nasa.gov/wp-content/uploads/2024/01/otps-sbsp-report-final-tagged-approved-1-8-24-tagged-v2.pdf) | Muscatello, A. C., et al. 2012. Mars In Situ Resource Utilization Technology Evaluation. NASA NTRS. (https://ntrs.nasa.gov/api/citations/20120001775/downloads/20120001775.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Asteroid mining: Prospecting, robotic capture or mining, in-space processing, material transport, and market development.",process-flow assumption + engineering inference,Asteroid mining,Lithium; Electrolytes; Graphite; Sorbents; Metals and alloys; Electrolytes; Sorbents,Electrolysis; Compression; Heat exchange,energy penalty; supply-chain constraint; cost curve problem; extreme environment durability,Prospecting is possible; profitable extraction is not yet demonstrated.,"Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Partially supported / roadmap-stage,NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | National Research Council. 1997. Advanced Technology for Human Support in Space. (https://www.nationalacademies.org/read/5826/chapter/4) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support),Tier 1 preferred; Tier 2 supplemental,Medium,"Sources support active research, demonstrations, or roadmaps; scale/cost/reliability are unresolved.","Frame as roadmap-stage or early-stage. Keep Asteroid mining wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Asteroid mining is represented with the simplified PFD sequence: Asteroid survey → Extraction → Beneficiation → Refining → Transport/use.,process-flow assumption,Asteroid mining,Lithium; Electrolytes; Graphite; Sorbents; Metals and alloys; Electrolytes; Sorbents,Electrolysis; Compression; Heat exchange,energy penalty; supply-chain constraint; cost curve problem; extreme environment durability,Prospecting is possible; profitable extraction is not yet demonstrated.,Process-route sources showing actual major unit operations or system blocks,Partially supported / roadmap-stage,NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | National Research Council. 1997. Advanced Technology for Human Support in Space. (https://www.nationalacademies.org/read/5826/chapter/4) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support),Tier 1 preferred; Tier 2 supplemental,Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,Asteroid mining readiness gap: Prospecting is possible; profitable extraction is not yet demonstrated.,readiness/economics claim,Asteroid mining,Lithium; Electrolytes; Graphite; Sorbents; Metals and alloys; Electrolytes; Sorbents,Electrolysis; Compression; Heat exchange,energy penalty; supply-chain constraint; cost curve problem; extreme environment durability,Prospecting is possible; profitable extraction is not yet demonstrated.,TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Partially supported / roadmap-stage,NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | National Research Council. 1997. Advanced Technology for Human Support in Space. (https://www.nationalacademies.org/read/5826/chapter/4) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support),Tier 1 preferred; Tier 2 supplemental,Medium,"Sources support active research, demonstrations, or roadmaps; scale/cost/reliability are unresolved.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Asteroid mining scale trigger: In-space demand must justify extraction before Earth-return economics do.,readiness/economics claim + engineering inference,Asteroid mining,Lithium; Electrolytes; Graphite; Sorbents; Metals and alloys; Electrolytes; Sorbents,Electrolysis; Compression; Heat exchange,energy penalty; supply-chain constraint; cost curve problem; extreme environment durability,In-space demand must justify extraction before Earth-return economics do.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Partially supported / roadmap-stage,NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | National Research Council. 1997. Advanced Technology for Human Support in Space. (https://www.nationalacademies.org/read/5826/chapter/4) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support),Tier 1 preferred; Tier 2 supplemental,Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Orbital manufacturing: Autonomous manufacturing platforms, feedstock launch, in-space process control, and return logistics.",process-flow assumption + engineering inference,Orbital manufacturing,Water; Catalysts; Catalysts,Electrolysis; Compression; Heat exchange,energy penalty; low yield; manufacturing repeatability; supply-chain constraint,Experiments are real; commercial demand and repeatability are uncertain.,"Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Partially supported / roadmap-stage,"NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | NASA Office of Technology, Policy, and Strategy. 2024. Space-Based Solar Power. (https://www.nasa.gov/wp-content/uploads/2024/01/otps-sbsp-report-final-tagged-approved-1-8-24-tagged-v2.pdf) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support)",Tier 1 preferred; Tier 2 supplemental,Medium,"Sources support active research, demonstrations, or roadmaps; scale/cost/reliability are unresolved.","Frame as roadmap-stage or early-stage. Keep Orbital manufacturing wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Orbital manufacturing is represented with the simplified PFD sequence: Feedstock launch → Microgravity processing → Inspection → Return or orbital use → Learning loop.,process-flow assumption,Orbital manufacturing,Water; Catalysts; Catalysts,Electrolysis; Compression; Heat exchange,energy penalty; low yield; manufacturing repeatability; supply-chain constraint,Experiments are real; commercial demand and repeatability are uncertain.,Process-route sources showing actual major unit operations or system blocks,Partially supported / roadmap-stage,"NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | NASA Office of Technology, Policy, and Strategy. 2024. Space-Based Solar Power. (https://www.nasa.gov/wp-content/uploads/2024/01/otps-sbsp-report-final-tagged-approved-1-8-24-tagged-v2.pdf) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support)",Tier 1 preferred; Tier 2 supplemental,Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,Orbital manufacturing readiness gap: Experiments are real; commercial demand and repeatability are uncertain.,readiness/economics claim,Orbital manufacturing,Water; Catalysts; Catalysts,Electrolysis; Compression; Heat exchange,energy penalty; low yield; manufacturing repeatability; supply-chain constraint,Experiments are real; commercial demand and repeatability are uncertain.,TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Partially supported / roadmap-stage,"NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | NASA Office of Technology, Policy, and Strategy. 2024. Space-Based Solar Power. (https://www.nasa.gov/wp-content/uploads/2024/01/otps-sbsp-report-final-tagged-approved-1-8-24-tagged-v2.pdf) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support)",Tier 1 preferred; Tier 2 supplemental,Medium,"Sources support active research, demonstrations, or roadmaps; scale/cost/reliability are unresolved.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Orbital manufacturing scale trigger: Microgravity must create a product valuable enough to pay for logistics.,readiness/economics claim + engineering inference,Orbital manufacturing,Water; Catalysts; Catalysts,Electrolysis; Compression; Heat exchange,energy penalty; low yield; manufacturing repeatability; supply-chain constraint,Microgravity must create a product valuable enough to pay for logistics.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Partially supported / roadmap-stage,"NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | NASA Office of Technology, Policy, and Strategy. 2024. Space-Based Solar Power. (https://www.nasa.gov/wp-content/uploads/2024/01/otps-sbsp-report-final-tagged-approved-1-8-24-tagged-v2.pdf) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support)",Tier 1 preferred; Tier 2 supplemental,Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Space elevators: Ultra-strong materials, orbital dynamics, climber power systems, and anchor infrastructure.",process-flow assumption + engineering inference,Space elevators,Lithium; Electrolytes; Graphite; Electrolytes,Electrolysis; Compression; Heat exchange,energy penalty; infrastructure gap; reliability gap; maintenance burden,Required cable performance is beyond current manufacturable materials.,"Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Partially supported / needs cautious wording,"Popescu, D. M., and S. A. Edwards. 2018. Building the space elevator: lessons from biological design. Journal of the Royal Society Interface. (https://royalsocietypublishing.org/doi/10.1098/rsif.2018.0086) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Sources support adjacent mechanisms, components, or analogues, not the full system.","Frame as speculative analogue evidence. Keep Space elevators wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Space elevators is represented with the simplified PFD sequence: Cable material production → Deployment → Climber operation → Orbital transfer → Maintenance.,process-flow assumption,Space elevators,Lithium; Electrolytes; Graphite; Electrolytes,Electrolysis; Compression; Heat exchange,energy penalty; infrastructure gap; reliability gap; maintenance burden,Required cable performance is beyond current manufacturable materials.,Process-route sources showing actual major unit operations or system blocks,Partially supported / needs cautious wording,"Popescu, D. M., and S. A. Edwards. 2018. Building the space elevator: lessons from biological design. Journal of the Royal Society Interface. (https://royalsocietypublishing.org/doi/10.1098/rsif.2018.0086) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,Space elevators readiness gap: Required cable performance is beyond current manufacturable materials.,readiness/economics claim,Space elevators,Lithium; Electrolytes; Graphite; Electrolytes,Electrolysis; Compression; Heat exchange,energy penalty; infrastructure gap; reliability gap; maintenance burden,Required cable performance is beyond current manufacturable materials.,TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Partially supported / needs cautious wording,"Popescu, D. M., and S. A. Edwards. 2018. Building the space elevator: lessons from biological design. Journal of the Royal Society Interface. (https://royalsocietypublishing.org/doi/10.1098/rsif.2018.0086) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Sources support adjacent mechanisms, components, or analogues, not the full system.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Space elevators scale trigger: Materials must achieve enormous specific strength at practical length and reliability.,readiness/economics claim + engineering inference,Space elevators,Lithium; Electrolytes; Graphite; Electrolytes,Electrolysis; Compression; Heat exchange,energy penalty; infrastructure gap; reliability gap; maintenance burden,Materials must achieve enormous specific strength at practical length and reliability.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Partially supported / needs cautious wording,"Popescu, D. M., and S. A. Edwards. 2018. Building the space elevator: lessons from biological design. Journal of the Royal Society Interface. (https://royalsocietypublishing.org/doi/10.1098/rsif.2018.0086) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | European Space Agency. Life support and MELiSSA regenerative loop program. (https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Life_support)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
